小篆編號,楷書編號,字體編號,鍵盤字型,鍵盤字型(binary)
228,['541'],27.58EF,壯,b'\xe5\xa3\xaf'
229,['9817'],27.58FF,壿,b'\xe5\xa3\xbf'
230,['19897'],27.F510,,b'\xef\x94\x90'
231,['67'],27.4E2D,中,b'\xe4\xb8\xad'
231,['67'],27.F35F,,b'\xef\x8d\x9f'
231,['67'],27.F2E7,,b'\xef\x8b\xa7'
232,['35901'],27.E048,,b'\xee\x81\x88'
233,['5413'],27.5C6E,屮,b'\xe5\xb1\xae'
234,['120'],27.5C6F,屯,b'\xe5\xb1\xaf'
235,['632'],27.6BCF,每,b'\xe6\xaf\x8f'
236,['1307'],27.6BD2,毒,b'\xe6\xaf\x92'
236,['46159'],27.E049,,b'\xee\x81\x89'
237,['1071'],27.F0EE,,b'\xef\x83\xae'
237,['1071'],27.82AC,芬,b'\xe8\x8a\xac'
238,['27896'],27.F041,,b'\xef\x81\x81'
238,['27896'],27.E04A,,b'\xee\x81\x8a'
239,['9421'],27.718F,熏,b'\xe7\x86\x8f'
240,['5569'],27.8278,艸,b'\xe8\x89\xb8'
241,['2349'],27.838A,莊,b'\xe8\x8e\x8a'
241,['37617'],27.E04B,,b'\xee\x81\x8b'
242,['9590'],27.84CF,蓏,b'\xe8\x93\x8f'
243,['1064'],27.829D,芝,b'\xe8\x8a\x9d'
244,['8267'],27.8410,萐,b'\xe8\x90\x90'
245,['2356'],27.8386,莆,b'\xe8\x8e\x86'
246,['13039'],27.864B,虋,b'\xe8\x99\x8b'
247,['7049'],27.8345,荅,b'\xe8\x8d\x85'
248,['8273'],27.8401,萁,b'\xe8\x90\x81'
249,['12240'],27.85FF,藿,b'\xe8\x97\xbf'
250,['7648'],27.83A5,莥,b'\xe8\x8e\xa5'
251,['45995'],27.E04D,,b'\xee\x81\x8d'
251,['8187'],27.7A02,稂,b'\xe7\xa8\x82'
252,['2352'],27.83A0,莠,b'\xe8\x8e\xa0'
253,['8284'],27.8409,萉,b'\xe8\x90\x89'
253,['12833'],27.9EC2,黂,b'\xe9\xbb\x82'
254,['5778'],27.8293,芓,b'\xe8\x8a\x93'
255,['46303'],27.E04E,,b'\xee\x81\x8e'
256,['5099'],27.8607,蘇,b'\xe8\x98\x87'
257,['1876'],27.834F,荏,b'\xe8\x8d\x8f'
258,['45518'],27.E04F,,b'\xee\x81\x8f'
259,['46059'],27.E050,,b'\xee\x81\x90'
260,['3213'],27.8475,葵,b'\xe8\x91\xb5'
261,['46686'],27.E051,,b'\xee\x81\x91'
262,['10148'],27.84FC,蓼,b'\xe8\x93\xbc'
263,['46020'],27.E052,,b'\xee\x81\x92'
264,['46412'],27.E053,,b'\xee\x81\x93'
265,['4624'],27.8587,薇,b'\xe8\x96\x87'
265,['4624'],27.E054,,b'\xee\x81\x94'
266,['10160'],27.84F6,蓶,b'\xe8\x93\xb6'
267,['45825'],27.E055,,b'\xee\x81\x95'
268,['46839'],27.E056,,b'\xee\x81\x96'
269,['2357'],27.83A7,莧,b'\xe8\x8e\xa7'
