楷書編號(網址),小篆編號,筆畫
497,3179,7
1110,3294,7
1110,3294,7
676,3299,7
732,3314,7
732,3314,7
690,3322,7
690,3322,7
690,3322,7
690,3322,7
26683,3345,7
578,3382,7
578,3382,7
26681,3385,7
5637,3386,7
620,3404,7
619,3406,7
5721,3406,7
623,3414,7
5716,3461,7
625,3508,7
29075,3536,7
5719,3551,7
29059,3577,7
5717,3582,7
621,3593,7
630,3637,7
5715,3639,7
5720,3651,7
628,3656,7
5722,3682,7
629,3692,7
624,3721,7
29070,3730,7
289,3798,7
22779,3842,7
558,3853,7
21338,3863,7
618,3879,7
25036,3892,7
528,3911,7
5628,3913,7
700,3916,7
27049,3965,7
713,3984,7
716,3985,7
716,3985,7
50116,4000,7
567,4000,7
5790,4001,7
714,4041,7
50112,4045,7
5785,4056,7
50125,4072,7
5786,4085,7
717,4089,7
50115,4096,7
50123,4099,7
5789,4107,7
715,4128,7
5788,4129,7
50132,4141,7
50130,4149,7
50119,4152,7
50087,4164,7
5711,4178,7
5709,4195,7
616,4207,7
935,4216,7
935,4216,7
2608,4296,7
2608,4296,7
5629,4304,7
354,4313,7
39032,4324,7
670,4325,7
482,4349,7
482,4349,7
482,4349,7
678,4352,7
677,4366,7
561,4546,7
559,4562,7
1608,4566,7
1608,4566,7
27043,4581,7
560,4598,7
510,4608,7
680,4649,7
40241,4682,7
5764,4693,7
40243,4703,7
22712,4779,7
20477,4786,7
5568,4789,7
5568,4789,7
682,4791,7
25218,4831,7
25188,4882,7
232,4886,7
5664,4898,7
273,4905,7
273,4905,7
23850,4916,7
506,4926,7
36659,4927,7
474,4941,7
5585,4959,7
458,4981,7
5591,4984,7
20610,4994,7
459,4995,7
456,4998,7
460,4999,7
453,5005,7
472,5049,7
469,5060,7
476,5076,7
466,5085,7
20616,5086,7
467,5099,7
5597,5104,7
5595,5107,7
5599,5110,7
478,5111,7
480,5117,7
20637,5123,7
470,5142,7
20633,5160,7
475,5178,7
465,5183,7
455,5185,7
442,5199,7
704,5224,7
633,5347,7
555,5358,7
566,5400,7
565,5403,7
5727,5426,7
481,5432,7
40053,5438,7
679,5444,7
694,5446,7
27633,5509,7
5614,5562,7
32119,5563,7
32119,5563,7
44058,5663,7
580,5682,7
26542,5691,7
20180,5743,7
21839,5750,7
5610,5751,7
611,5760,7
856,5818,7
568,5838,7
5659,5867,7
570,5872,7
5667,5897,7
5668,5898,7
573,5905,7
26739,5913,7
574,5924,7
5611,5951,7
20179,5957,7
20185,5959,7
1093,6036,7
1093,6036,7
1093,6036,7
699,6045,7
699,6045,7
27353,6075,7
5782,6079,7
5651,6270,7
30126,6297,7
5751,6306,7
5754,6310,7
30112,6316,7
668,6334,7
36705,6334,7
667,6336,7
30105,6354,7
35981,6408,7
663,6438,7
661,6439,7
5747,6443,7
35993,6453,7
35984,6453,7
662,6453,7
527,6543,7
527,6543,7
701,6551,7
542,6564,7
23560,6572,7
23570,6574,7
23573,6577,7
23571,6581,7
508,6585,7
508,6585,7
562,6599,7
5517,6600,7
585,6672,7
588,6681,7
5688,6689,7
36735,6693,7
36666,6708,7
5686,6711,7
587,6725,7
5675,6786,7
5680,6795,7
583,6808,7
5679,6822,7
584,6835,7
36709,6846,7
36714,6876,7
36725,6880,7
5682,6896,7
36655,6906,7
586,6926,7
639,6964,7
657,6973,7
5728,6975,7
652,6983,7
636,6985,7
5738,6991,7
646,7003,7
5742,7028,7
659,7044,7
655,7050,7
640,7062,7
5731,7082,7
5737,7107,7
641,7120,7
647,7124,7
5730,7126,7
654,7128,7
2222,7172,7
2222,7172,7
2222,7172,7
635,7199,7
32106,7199,7
5744,7203,7
5736,7207,7
5743,7220,7
642,7233,7
650,7237,7
32114,7250,7
648,7258,7
637,7279,7
5741,7297,7
649,7300,7
19851,7314,7
32128,7315,7
643,7371,7
651,7376,7
5735,7409,7
5663,7442,7
5663,7442,7
28618,7445,7
697,7460,7
180,7476,7
180,7476,7
485,7477,7
486,7479,7
5602,7482,7
437,7666,7
437,7666,7
449,7672,7
449,7672,7
449,7672,7
36594,7684,7
5767,7753,7
20327,7785,7
5691,7786,7
597,7814,7
5965,7827,7
600,7835,7
601,7836,7
33466,7877,7
50658,7880,7
609,7885,7
5707,7888,7
598,7891,7
5694,7904,7
33484,7920,7
608,7923,7
605,7940,7
596,7982,7
5703,7999,7
5698,8005,7
5700,8012,7
5693,8021,7
594,8025,7
5640,8075,7
27987,8078,7
553,8091,7
547,8104,7
547,8104,7
27980,8115,7
27982,8150,7
5882,8164,7
27969,8173,7
5642,8176,7
27959,8179,7
27974,8208,7
552,8216,7
543,8222,7
5643,8229,7
544,8230,7
549,8232,7
457,8233,7
545,8239,7
550,8255,7
27988,8258,7
5724,8313,7
253,8314,7
253,8314,7
30773,8349,7
592,8358,7
592,8358,7
20326,8376,7
20330,8378,7
496,8395,7
870,8463,7
681,8467,7
180,8544,7
29076,8628,7
1499,8930,7
1499,8930,7
498,8964,7
289,8968,7
19832,8969,7
535,8981,7
22764,8996,7
5505,8999,7
538,9020,7
538,9020,7
5631,9021,7
5636,9024,7
22779,9027,7
536,9037,7
540,9058,7
5635,9078,7
539,9085,7
531,9115,7
720,9120,7
5761,9124,7
673,9133,7
672,9160,7
493,9166,7
5606,9177,7
492,9199,7
495,9203,7
705,9463,7
705,9463,7
724,9577,7
5794,9585,7
725,9605,7
721,9607,7
5793,9609,7
533,9609,7
722,9630,7
270,9690,7
270,9690,7
706,9705,7
27798,9728,7
689,9737,7
196,9743,7
196,9743,7
707,9744,7
707,9744,7
718,9755,7
19850,9755,7
1212,7,8
1212,7,8
1672,8,8
1672,8,8
1672,8,8
1038,31,8
6095,42,8
1037,64,8
1037,64,8
6073,116,8
6071,123,8
28696,143,8
1022,149,8
6068,157,8
28687,158,8
28691,183,8
6070,192,8
1024,195,8
1023,221,8
973,225,8
67,231,8
67,231,8
67,231,8
632,235,8
1071,237,8
1071,237,8
1064,243,8
6120,299,8
6117,303,8
6123,311,8
45468,351,8
6121,353,8
1069,391,8
1074,394,8
6125,408,8
1076,412,8
6124,415,8
45487,425,8
45490,448,8
45484,451,8
6112,465,8
6114,483,8
1067,491,8
1075,498,8
6115,500,8
6118,534,8
6119,538,8
1063,574,8
1068,579,8
1072,632,8
6122,642,8
1065,685,8
846,711,8
2708,720,8
2708,720,8
33162,733,8
33177,767,8
1016,770,8
797,792,8
789,802,8
784,816,8
5847,823,8
795,825,8
804,839,8
799,845,8
24037,851,8
792,853,8
791,858,8
802,876,8
802,876,8
5842,885,8
5856,896,8
798,905,8
790,919,8
794,944,8
24083,949,8
5849,954,8
5850,966,8
702,978,8
6081,1073,8
41373,1077,8
730,1085,8
251,1086,8
251,1086,8
251,1086,8
874,1100,8
6137,1103,8
5926,1105,8
1084,1124,8
2090,1134,8
1085,1140,8
1085,1140,8
1086,1179,8
1086,1179,8
50671,1192,8
6136,1206,8
50700,1207,8
873,1228,8
873,1228,8
876,1230,8
26268,1245,8
2089,1253,8
