字體編號,楷書字體編號,楷書字型
27.855B,0.855B,蕛
27.82F5,0.82F5,苵
27.827C,0.827C,艼
27.8523,0.8523,蔣
27.E08D,5.E36C,苽
27.E08E,5.E4AC,𦱀
27.85E3,0.85E3,藣
27.E08F,5.E841,䕼
27.83A8,0.83A8,莨
27.847D,0.847D,葽
27.8596,0.8596,薖
27.83CC,0.83CC,菌
27.8548,0.8548,蕈
27.E090,5.E4E6,䓴
27.845A,0.845A,葚
27.849F,0.849F,蒟
27.8298,0.8298,芘
27.8563,0.8563,蕣
27.8438,0.8438,萸
27.8331,0.8331,茱
27.E091,5.E395,茮
27.838D,0.838D,莍
27.834A,0.834A,荊
27.E092,0.834A,荊
27.E093,5.E4B1,菭
27.82BD,0.82BD,芽
27.840C,0.840C,萌
27.8301,0.8301,茁
27.8396,0.8396,莖
27.839B,0.839B,莛
27.8449,0.8449,葉
27.E094,5.E664,𦺶
27.82A3,0.82A3,芣
27.8469,0.8469,葩
27.829B,0.829B,芛
27.8633,0.8633,蘳
27.8508,0.8508,蔈
27.82F1,0.82F1,英
27.85BE,0.85BE,薾
27.840B,0.840B,萋
27.83F6,0.83F6,菶
27.85BF,0.85BF,薿
27.8564,0.8564,蕤
27.E095,5.E51D,葼
27.E096,5.E603,䔟
27.849D,0.849D,蒝
27.83A2,0.83A2,莢
27.8292,0.8292,芒
27.E097,5.E63D,䔺
27.8515,0.8515,蔕
27.8344,0.8344,荄
27.837A,0.837A,荺
27.8307,0.8307,茇
27.8283,0.8283,芃
27.E098,5.E67F,𦺉
27.84FB,0.84FB,蓻
27.E099,5.E429,䓄
27.8302,0.8302,茂
27.E09A,5.E73E,𧀄
27.852D,0.852D,蔭
27.E09B,5.E5FF,䔏
27.8332,0.8332,茲
27.E09C,5.E58B,𦵦
27.85C3,0.85C3,藃
27.8507,0.8507,蔇
27.858B,0.858B,薋
27.84C1,0.84C1,蓁
27.83A6,0.83A6,莦
27.82AE,0.82AE,芮
27.832C,0.832C,茬
27.8588,0.8588,薈
27.E09D,5.E552,䓮
27.82BC,0.82BC,芼
27.84BC,0.84BC,蒼
27.F0E5,0.F0E5,葻
27.8403,0.8403,萃
27.8494,0.8494,蒔
27.82D7,0.82D7,苗
