小篆編號,楷書編號,字體編號,鍵盤字型,鍵盤字型(binary),小篆部件,楷書部件
127,['8132'],27.742B,琫,b'\xe7\x90\xab',又土屮手玉】,手玉
128,['6445'],27.73CC,珌,b'\xe7\x8f\x8c',八玉﹍,玉必
129,['28943'],27.E022,,b'\xee\x80\xa2',,一一戈止止金
130,['9438'],27.7475,瑵,b'\xe7\x91\xb5',又玉虫·,一一又玉虫
131,['8782'],27.7451,瑑,b'\xe7\x91\x91',玉竹豕,玉豕
132,['6455'],27.73C7,珇,b'\xe7\x8f\x87',几玉∞,玉且
133,['28972'],27.E023,,b'\xee\x80\xa3',,
133,['28884'],27.E024,,b'\xee\x80\xa4',,艸金
134,['11096'],27.74AA,璪,b'\xe7\x92\xaa',口口口屮玉｛,口口口木玉
135,['28880'],27.E025,,b'\xee\x80\xa5',,
136,['28971'],27.E026,,b'\xee\x80\xa6',,口口口木金
137,['11893'],27.74C3,瓃,b'\xe7\x93\x83',玉畾,玉田田田
138,['9436'],27.7473,瑳,b'\xe7\x91\xb3',工玉,一工玉羊
139,['6892'],27.73BC,玼,b'\xe7\x8e\xbc',人止玉,匕止玉
140,['11098'],27.74B1,璱,b'\xe7\x92\xb1',璱 = 琴八玉﹍,玉玉玉必
141,['9441'],27.746E,瑮,b'\xe7\x91\xae',屮玉｛,木玉襾
142,['3923'],27.7469,瑩,b'\xe7\x91\xa9',一火火火玉〈,火火玉
143,['10021'],27.748A,璊,b'\xe7\x92\x8a',十十玉〉,人人巾廿玉
143,['28696'],27.E027,,b'\xee\x80\xa7',,一人人人口口金
144,['3115'],27.7455,瑕,b'\xe7\x91\x95',玉,匚又玉
145,['2696'],27.7422,琢,b'\xe7\x90\xa2',玉豕‵,玉豖
146,['8137'],27.7431,琱,b'\xe7\x90\xb1',卜口口玉,土口玉
147,['2257'],27.7406,理,b'\xe7\x90\x86',土玉田,玉里
148,['1354'],27.73CD,珍,b'\xe7\x8f\x8d',人玉,人玉
149,['1022'],27.73A9,玩,b'\xe7\x8e\xa9',一一儿玉,二儿玉
149,['49037'],27.E028,,b'\xee\x80\xa8',一入土虫﹡≠,虫网金
150,['1353'],27.73B2,玲,b'\xe7\x8e\xb2',一入玉,一一人玉
151,['9439'],27.7472,瑲,b'\xe7\x91\xb2',一入玉↗,一人口玉
152,['5564'],27.738E,玎,b'\xe7\x8e\x8e',丁玉,一玉
153,['8138'],27.7424,琤,b'\xe7\x90\xa4',又爪玉,爪玉
