小篆編號,楷書編號,字體編號,鍵盤字型,鍵盤字型(binary),小篆部件,楷書部件
6813,['6727'],27.609D,悝,b'\xe6\x82\x9d',土心田,心里
6814,['9858'],27.61B0,憰,b'\xe6\x86\xb0',入口囗心矛,儿口心矛
6815,['36900'],27.E909,,b'\xee\xa4\x89',,一一人鳥
6816,['5939'],27.6033,怳,b'\xe6\x80\xb3',儿口水心,儿口心
6817,['36863'],27.E90A,,b'\xee\xa4\x8a',,
6818,['37561'],27.E90B,,b'\xee\xa4\x8b',一止鳥,一之鳥
6819,['2114'],27.60B8,悸,b'\xe6\x82\xb8',悸 = 一一入屮子尸心｛,子心禾
6820,['10489'],27.61BF,憿,b'\xe6\x86\xbf',一一卜入又方心,方心白
6821,['11477'],27.61D6,懖,b'\xe6\x87\x96',一入土口心﹎﹋≠,一十口心金
6821,['41772'],27.E90C,,b'\xee\xa4\x8c',,匕鳥
6822,['5679'],27.5FE8,忨,b'\xe5\xbf\xa8',一一儿心,二儿心
6823,['7311'],27.60CF,惏,b'\xe6\x83\x8f',屮屮心｛｛,木木心
6824,['37462'],27.E90D,,b'\xee\xa4\x8d',,
6825,['3014'],27.6106,愆,b'\xe6\x84\x86',彳彳水心,水心行
6825,['51876'],27.E90E,,b'\xee\xa4\x8e',一鳥,立鳥
6826,['8581'],27.614A,慊,b'\xe6\x85\x8a',又屮屮心｛｛,心艸
6827,['2547'],27.60D1,惑,b'\xe6\x83\x91',一囗心﹍﹌,一口戈心
6828,['5935'],27.600B,怋,b'\xe6\x80\x8b',心民,心民
6829,['5947'],27.6013,怓,b'\xe6\x80\x93',又女心,又女心
6830,['8579'],27.60F7,惷,b'\xe6\x83\xb7',一一囗屮屮屮心,日心
6831,['7317'],27.60DB,惛,b'\xe6\x83\x9b',一一囗心﹎,日氏心
6832,['5930'],27.5FE5,忥,b'\xe5\xbf\xa5',气心,气心
6833,['37521'],27.E90F,,b'\xee\xa4\x8f',,廾鳥
6834,['9866'],27.6192,憒,b'\xe6\x86\x92',心貝,一中心貝
6835,['584'],27.5FCC,忌,b'\xe5\xbf\x8c',己心,己心
6836,['881'],27.5FFF,忿,b'\xe5\xbf\xbf',八刀心,儿刀心
6837,['6726'],27.6081,悁,b'\xe6\x82\x81',囗心肉,口月心
6837,['36994'],27.E910,,b'\xee\xa4\x90',,矢鳥
6838,['37487'],27.E911,,b'\xee\xa4\x91',,
6839,['6719'],27.605A,恚,b'\xe6\x81\x9a',土土心,土土心
6840,['1234'],27.6028,怨,b'\xe6\x80\xa8',月心,夕心
6840,['1234'],27.E912,,b'\xee\xa4\x92',月鳥,夕鳥
6841,['1229'],27.6012,怒,b'\xe6\x80\x92',又女心,又女心
6842,['10480'],27.619D,憝,b'\xe6\x86\x9d',卜又囗心﹗／↘,口子心
6843,['3009'],27.614D,慍,b'\xe6\x85\x8d',人囗心皿,人囗心皿
6844,['2548'],27.60E1,惡,b'\xe6\x83\xa1',心亞,二心
6845,['3839'],27.618E,憎,b'\xe6\x86\x8e',八口心♀,儿小囗日心
6846,['36709'],27.E913,,b'\xee\xa4\x93',,
6847,['36650'],27.E914,,b'\xee\xa4\x94',口鳥,口鳥
6848,['37150'],27.E915,,b'\xee\xa4\x95',口鳥,口鳥
6849,['1237'],27.6068,恨,b'\xe6\x81\xa8',人心目,心艮
6850,['11470'],27.61DF,懟,b'\xe6\x87\x9f',一一十又心,一儿干寸心丘
6851,['1645'],27.6094,悔,b'\xe6\x82\x94',屮女心﹉,人心毋
6852,['37089'],27.E916,,b'\xee\xa4\x96',一鳥﹎,一氏鳥
6853,['882'],27.600F,怏,b'\xe6\x80\x8f',心,心央
6854,['4733'],27.61E3,懣,b'\xe6\x87\xa3',十十水心〉,人人巾廿水心
6855,['3842'],27.61A4,憤,b'\xe6\x86\xa4',屮屮屮心貝,十廾心貝
6856,['2550'],27.60B6,悶,b'\xe6\x82\xb6',戶戶心,心門
6857,['2112'],27.60C6,惆,b'\xe6\x83\x86',卜口口心,土口心
6858,['2107'],27.60B5,悵,b'\xe6\x82\xb5',一儿人入心,心長
6859,['3010'],27.613E,愾,b'\xe6\x84\xbe',气心米,气心米
6860,['10485'],27.61C6,懆,b'\xe6\x87\x86',口口口屮心｛,口口口木心
6861,['3011'],27.6134,愴,b'\xe6\x84\xb4',一入心↗,一人口心
6862,['893'],27.601B,怛,b'\xe6\x80\x9b',一一囗心,一日心
6862,['893'],27.E917,,b'\xee\xa4\x97',一一囗鳥,一日鳥
6863,['9863'],27.61AF,憯,b'\xe6\x86\xaf',人人口心﹙﹙♀,日心
6864,['3462'],27.6158,慘,b'\xe6\x85\x98',心參,人心
6865,['2104'],27.60BD,悽,b'\xe6\x82\xbd',又屮女心,女心
6866,['1242'],27.606B,恫,b'\xe6\x81\xab',一一口心〈,一口心
6867,['2549'],27.60B2,悲,b'\xe6\x82\xb2',心非,心非
6868,['2557'],27.60FB,惻,b'\xe6\x83\xbb',刀心貝,刀心貝
6869,['2108'],27.60DC,惜,b'\xe6\x83\x9c',心昔,日心
6870,['3013'],27.610D,愍,b'\xe6\x84\x8d',卜又心民,心民
6871,['3454'],27.6147,慇,b'\xe6\x85\x87',人又心』,殳心身
6872,['36973'],27.E918,,b'\xee\xa4\x98',,
6873,['43747'],27.E919,,b'\xee\xa4\x99',,力鳥
6874,['8583'],27.6145,慅,b'\xe6\x85\x85',又心虫·,一一又心虫
6875,['3000'],27.611F,感,b'\xe6\x84\x9f',一口心戊,一一口戈心
6876,['36714'],27.E91A,,b'\xee\xa4\x9a',十口鳥,十口鳥
6877,['36982'],27.E91B,,b'\xee\xa4\x9b',,
6878,['37197'],27.E91C,,b'\xee\xa4\x9c',八鳥,穴鳥
6879,['5946'],27.602E,怮,b'\xe6\x80\xae',力心,力心
6880,['36725'],27.E91D,,b'\xee\xa4\x9d',鳥,央鳥
6881,['1633'],27.6059,恙,b'\xe6\x81\x99',心﹗,心羊
6882,['2558'],27.60F4,惴,b'\xe6\x83\xb4',心耑,山心而
6883,['10491'],27.618C,憌,b'\xe6\x86\x8c',一一一入土心≠,二心金
6884,['5934'],27.6032,怲,b'\xe6\x80\xb2',一一入心〈,一內心
6885,['7310'],27.60D4,惔,b'\xe6\x83\x94',火火心,火火心
6886,['7313'],27.60D9,惙,b'\xe6\x83\x99',心,又又又又心
6887,['37283'],27.E91E,,b'\xee\xa4\x9e',,
6888,['3004'],27.6101,愁,b'\xe6\x84\x81',屮火心虫｛＜＞,火心禾
6889,['37226'],27.E91F,,b'\xee\xa4\x9f',甲鳥,甲鳥
6890,['37033'],27.E920,,b'\xee\xa4\xa0',乙手鳥,一夫鳥
6891,['2099'],27.60A0,悠,b'\xe6\x82\xa0',卜人又水心,人心
6892,['2102'],27.60B4,悴,b'\xe6\x82\xb4',心卒,十人人心
6893,['9268'],27.6141,慁,b'\xe6\x85\x81',囗心豕,囗心豕
6894,['37229'],27.E921,,b'\xee\xa4\xa1',,
6895,['36668'],27.E922,,b'\xee\xa4\xa2',,
6896,['5682'],27.5FE1,忡,b'\xe5\xbf\xa1',口心,中心
6897,['1641'],27.6084,悄,b'\xe6\x82\x84',八心肉,小月心
6898,['3832'],27.617C,慼,b'\xe6\x85\xbc',心﹍﹌,一一卜小戈心
6899,['37057'],27.F0C5,,b'\xef\x83\x85',一儿心自,心頁
6900,['2097'],27.60A3,患,b'\xe6\x82\xa3',口口心,心串
6900,['54456'],27.E923,,b'\xee\xa4\xa3',,
6900,['2097'],27.E924,,b'\xee\xa4\xa4',,一鳥
6901,['6287'],27.6047,恇,b'\xe6\x81\x87',匚土之心,匚心玉
6902,['36887'],27.E925,,b'\xee\xa4\xa5',,一大鳥
6903,['5151'],27.61FE,懾,b'\xe6\x87\xbe',心耳耳耳,心耳耳耳
6904,['3841'],27.619A,憚,b'\xe6\x86\x9a',口口心,口口心
6905,['2109'],27.60BC,悼,b'\xe6\x82\xbc',一人囗心甲,十卜日心
6906,['1636'],27.6050,恐,b'\xe6\x81\x90',工心丮,工心
6906,['36655'],27.E926,,b'\xee\xa4\xa6',,而鳥
6907,['9277'],27.6174,慴,b'\xe6\x85\xb4',慴 = 心羽,心白羽
6908,['885'],27.6035,怵,b'\xe6\x80\xb5',心朮,一木心
6909,['2111'],27.60D5,惕,b'\xe6\x83\x95',心易,一一日心
6909,['7304'],27.6090,悐,b'\xe6\x82\x90',大犬心△,犬火心
6910,['36836'],27.E927,,b'\xee\xa4\xa7',口鳥﹎﹋,一十口鳥
6911,['36869'],27.E928,,b'\xee\xa4\xa8',,乂艸鳥
6912,['2562'],27.60F6,惶,b'\xe6\x83\xb6',王心自,心玉白
6913,['36913'],27.E929,,b'\xee\xa4\xa9',,
6913,['886'],27.6016,怖,b'\xe6\x80\x96',又心﹔「,又巾心
6914,['9856'],27.6179,慹,b'\xe6\x85\xb9',一一入大心丮,儿干土丸心
6915,['37395'],27.E92A,,b'\xee\xa4\xaa',女鳥,女鳥
6916,['37189'],27.E92B,,b'\xee\xa4\xab',,
6916,['40532'],27.E92C,,b'\xee\xa4\xac',,
6917,['7911'],27.60CE,惎,b'\xe6\x83\x8e',心其,儿心
6918,['1635'],27.6065,恥,b'\xe6\x81\xa5',心耳,心耳
6919,['37016'],27.E92D,,b'\xee\xa4\xad',,土口鳥
6920,['877'],27.5FDD,忝,b'\xe5\xbf\x9d',一大心,一大心
6921,['3461'],27.615A,慚,b'\xe6\x85\x9a',斤心車,斤心車
6922,['6720'],27.6067,恧,b'\xe6\x81\xa7',心而,心而
6923,['5944'],27.600D,怍,b'\xe6\x80\x8d',一人入心,心乍
6924,['3837'],27.6190,憐,b'\xe6\x86\x90',火火心,心舛米
6925,['37241'],27.E92E,,b'\xee\xa4\xae',,刀歹鳥
6926,['586'],27.5FCD,忍,b'\xe5\xbf\x8d',刃心,一刀心
6927,['37139'],27.E92F,,b'\xee\xa4\xaf',,一未鳥
6928,['36649'],27.E930,,b'\xee\xa4\xb0',,
6929,['4907'],27.61F2,懲,b'\xe6\x87\xb2',一十卜人人又彳心『,一一土山彳心
6930,['3840'],27.61AC,憬,b'\xe6\x86\xac',一囗囗心↘╴,小口日心
6931,['3463'],27.6175,慵,b'\xe6\x85\xb5',卜口心庚,心
6932,['7316'],27.60B1,悱,b'\xe6\x82\xb1',心非,心非
6933,['891'],27.6029,怩,b'\xe6\x80\xa9',人尸心,匕尸心
6934,['7907'],27.60C9,惉,b'\xe6\x83\x89',卜口水心,卜口水心
6935,['11469'],27.61D8,懘,b'\xe6\x87\x98',水心「」,巾卅水心
6936,['4480'],27.61C7,懇,b'\xe6\x87\x87',人心目豕,心艮豸
6937,['381'],27.5FD6,忖,b'\xe5\xbf\x96',一又心,寸心
6938,['5937'],27.600A,怊,b'\xe6\x80\x8a',刀口心,刀口心
6939,['3460'],27.615F,慟,b'\xe6\x85\x9f',一一十人力囗屮心｛,力心重
6940,['3003'],27.60F9,惹,b'\xe6\x83\xb9',又口屮屮心,又口心艸
6941,['1236'],27.6070,恰,b'\xe6\x81\xb0',一入口心,一人口心
6942,['1646'],27.608C,悌,b'\xe6\x82\x8c',心弟,一儿心弔
6943,['10487'],27.61CC,懌,b'\xe6\x87\x8c',一一入大心目,儿干土心网
6944,['7910'],27.60E2,惢,b'\xe6\x83\xa2',心心心,心心心
6945,['11578'],27.7E60,繠,b'\xe7\xb9\xa0',心心心糸,心心心糸
6946,['147'],27.6C34,水,b'\xe6\xb0\xb4',水,水
6947,['5466'],27.6C43,汃,b'\xe6\xb1\x83',八水,儿水
6948,['980'],27.6CB3,河,b'\xe6\xb2\xb3',口水,一口水
6949,['6045'],27.6CD1,泑,b'\xe6\xb3\x91',力水,力水
6950,['7420'],27.6DB7,涷,b'\xe6\xb6\xb7',一囗屮水｛,水東
6951,['2236'],27.6DAA,涪,b'\xe6\xb6\xaa',口不水,口水立
6952,['3895'],27.6F7C,潼,b'\xe6\xbd\xbc',潼 = 一一一十人入囗屮水｛,水立里
6953,['408'],27.6C5F,江,b'\xe6\xb1\x9f',工水,工水
6954,['977'],27.6CB1,沱,b'\xe6\xb2\xb1',水虫＜,匕水
6955,['1726'],27.6D59,浙,b'\xe6\xb5\x99',水手斤,水手斤
6956,['6856'],27.6D90,涐,b'\xe6\xb6\x90',水﹍﹌,水我
6957,['2645'],27.6E54,湔,b'\xe6\xb9\x94',刀水止舟,刀水月艸
6958,['985'],27.6CAB,沫,b'\xe6\xb2\xab',一屮水｛,水未
6959,['3083'],27.6EAB,溫,b'\xe6\xba\xab',人囗水皿,人囗水皿
6960,['12425'],27.704A,灊,b'\xe7\x81\x8a',人人水鬲﹙﹙,水鬲
6961,['992'],27.6CAE,沮,b'\xe6\xb2\xae',几水∞,水且
6962,['3077'],27.6EC7,滇,b'\xe6\xbb\x87',人八水目,十儿水
6963,['6843'],27.6D82,涂,b'\xe6\xb6\x82',一入八囗屮水,人儿干水
6964,['639'],27.6C85,沅,b'\xe6\xb2\x85',一一儿水,二儿水
6965,['2219'],27.6DF9,淹,b'\xe6\xb7\xb9',大水爪爪∮,大水申
6966,['3082'],27.6EBA,溺,b'\xe6\xba\xba',水,弓弓水
6967,['1330'],27.6D2E,洮,b'\xe6\xb4\xae',水兆,儿水
6968,['1722'],27.6D87,涇,b'\xe6\xb6\x87',一一十人川水,一工川水
6969,['2659'],27.6E2D,渭,b'\xe6\xb8\xad',水肉︱,水月田
6970,['3512'],27.6F3E,漾,b'\xe6\xbc\xbe',水永﹗,水永羊
6970,['11508'],27.7001,瀁,b'\xe7\x80\x81',一入水﹗,水羊食
6971,['3517'],27.6F22,漢,b'\xe6\xbc\xa2',土水田隹,水
6971,['32658'],27.E931,,b'\xee\xa4\xb1',,
6972,['1719'],27.6D6A,浪,b'\xe6\xb5\xaa',入囗水︴↘,一水艮
6973,['657'],27.6C94,沔,b'\xe6\xb2\x94',丏水,丐水
6974,['2677'],27.6E5F,湟,b'\xe6\xb9\x9f',王水自,水玉白
6975,['5728'],27.6C67,汧,b'\xe6\xb1\xa7',水幵,一廾水
6976,['9952'],27.6F87,澇,b'\xe6\xbe\x87',一力水火火火〈,力水火火
6977,['3520'],27.6F06,漆,b'\xe6\xbc\x86',水桼,人木水水
6978,['9378'],27.6EFB,滻,b'\xe6\xbb\xbb',厂土屮水文,厂水文生
6979,['1324'],27.6D1B,洛,b'\xe6\xb4\x9b',口水,口水
6980,['6833'],27.6DEF,淯,b'\xe6\xb7\xaf',子水肉,水月
6981,['405'],27.6C5D,汝,b'\xe6\xb1\x9d',女水,女水
6982,['9982'],27.6F69,潩,b'\xe6\xbd\xa9',又丌水,儿水田
6983,['652'],27.6C7E,汾,b'\xe6\xb1\xbe',八刀水,儿刀水
6984,['10576'],27.6FAE,澮,b'\xe6\xbe\xae',一入八口水♀,一人小囗日水
6985,['636'],27.6C81,沁,b'\xe6\xb2\x81',水心,水心
6986,['982'],27.6CBE,沾,b'\xe6\xb2\xbe',卜口水,卜口水
6987,['10568'],27.6F5E,潞,b'\xe6\xbd\x9e',口囗水止,口水足
6988,['3506'],27.6F33,漳,b'\xe6\xbc\xb3',漳 = 一一十入口水,十水音
6989,['2213'],27.6DC7,淇,b'\xe6\xb7\x87',水其,儿水
6990,['4328'],27.8569,蕩,b'\xe8\x95\xa9',一一囗屮屮水勿,一一一日水艸
6991,['5738'],27.6C87,沇,b'\xe6\xb2\x87',儿巳水,儿水
6991,['996'],28.6CBF,沿,b'\xe6\xb2\xbf',口水：,儿口水
6992,['6029'],27.6CF2,泲,b'\xe6\xb3\xb2',一八水【,水
6993,['6416'],27.6D08,洈,b'\xe6\xb4\x88',厂人水,厂人水
6994,['8710'],27.6EA0,溠,b'\xe6\xba\xa0',工水,一工水羊
6995,['6391'],27.6D2D,洭,b'\xe6\xb4\xad',匚土水之,匚水玉
6996,['9980'],27.6F53,潓,b'\xe6\xbd\x93',屮水心–,水心
6997,['5160'],27.704C,灌,b'\xe7\x81\x8c',口口水隹,口口水艸隹
6998,['3522'],27.6F38,漸,b'\xe6\xbc\xb8',水斤車,水斤車
6999,['1005'],27.6CE0,泠,b'\xe6\xb3\xa0',一入水,一一人水
7000,['32914'],27.E932,,b'\xee\xa4\xb2',工水鳥,工水鳥
7001,['3090'],27.6EA7,溧,b'\xe6\xba\xa7',屮水｛,木水襾
7002,['2655'],27.6E58,湘,b'\xe6\xb9\x98',屮水目｛,木水网
7003,['646'],27.6C68,汨,b'\xe6\xb1\xa8',一一入八囗水〈,日水
7004,['8711'],27.6EB1,溱,b'\xe6\xba\xb1',又屮屮水午臼｛｛,水禾
7005,['2231'],27.6DF1,深,b'\xe6\xb7\xb1',八水火求,儿木水
7006,['3901'],27.6F6D,潭,b'\xe6\xbd\xad',一口囗水戊西／＿↘,十日水襾
7007,['990'],27.6CB9,油,b'\xe6\xb2\xb9',水由,水由
7008,['32770'],27.E933,,b'\xee\xa4\xb3',,
7009,['8070'],27.6E5E,湞,b'\xe6\xb9\x9e',卜水貝,卜水貝
7010,['3086'],27.6E9C,溜,b'\xe6\xba\x9c',水田,一匕刀水田
7011,['12183'],27.7037,瀷,b'\xe7\x80\xb7',又丌水羽,儿水田羽
7012,['9966'],27.6F55,潕,b'\xe6\xbd\x95',屮屮水｛｛,一人水火卌
7013,['9405'],27.6EF6,滶,b'\xe6\xbb\xb6',卜又水方出,土水方
7014,['11867'],27.7019,瀙,b'\xe7\x80\x99',瀙 = 一一儿入屮水目｛,木水立見
7015,['2232'],27.6DEE,淮,b'\xe6\xb7\xae',水隹,水隹
7016,['8721'],27.6ECD,滍,b'\xe6\xbb\x8d',水之虫,一屮水虫
7017,['4243'],27.6FA7,澧,b'\xe6\xbe\xa7',囗水⊙↑,水曲豆
7018,['8736'],27.6EB3,溳,b'\xe6\xba\xb3',囗水貝,口水貝
7019,['7425'],27.6DE0,淠,b'\xe6\xb7\xa0',丌水,一儿水田
7020,['10577'],27.6FBA,澺,b'\xe6\xbe\xba',澺 = 一一入口水心,水心音
7021,['32227'],27.E934,,b'\xee\xa4\xb4',,口女鳥
7022,['12426'],27.7048,灈,b'\xe7\x81\x88',水目目隹,水网网隹
7023,['9949'],27.6F41,潁,b'\xe6\xbd\x81',一儿人水自,匕水頁
7024,['1327'],27.6D27,洧,b'\xe6\xb4\xa7',又水月,又水月
7025,['11076'],27.6FE6,濦,b'\xe6\xbf\xa6',又工水爪心,又工水爪心
7026,['10569'],27.6FC4,濄,b'\xe6\xbf\x84',口彳水止,口水
7027,['989'],27.6CC4,泄,b'\xe6\xb3\x84',水世,水世
7028,['5742'],27.6C73,汳,b'\xe6\xb1\xb3',厂又水,厂又水
7029,['9978'],27.6F67,潧,b'\xe6\xbd\xa7',八口水♀,儿小囗日水
7030,['7418'],27.6DE9,淩,b'\xe6\xb7\xa9',入八屮水,儿土水
7031,['4527'],27.6FEE,濮,b'\xe6\xbf\xae',人又水,人夫水丘艸
7032,['11516'],27.6FFC,濼,b'\xe6\xbf\xbc',水樂,木水白
7033,['9377'],27.6F37,漷,b'\xe6\xbc\xb7',囗囗水︼∕,口子水邑
7034,['2233'],27.6DE8,淨,b'\xe6\xb7\xa8',又水爪,水爪
7035,['4526'],27.6FD5,濕,b'\xe6\xbf\x95',一囗水糸糸,日水火
7036,['998'],27.6CE1,泡,b'\xe6\xb3\xa1',水包,己水
7037,['8069'],27.6E2E,渮,b'\xe6\xb8\xae',口屮屮水,一口水艸
7038,['993'],27.6CD7,泗,b'\xe6\xb3\x97',水四,儿囗水
7039,['1326'],27.6D39,洹,b'\xe6\xb4\xb9',一一水,二日水
7040,['12427'],27.7049,灉,b'\xe7\x81\x89',囗川水隹,川水邑隹
7041,['4247'],27.6FB6,澶,b'\xe6\xbe\xb6',一一入囗水﹏,一口囗日水
7042,['6400'],27.6D19,洙,b'\xe6\xb4\x99',一屮水｛,一水未
7043,['6020'],27.6CAD,沭,b'\xe6\xb2\xad',水朮,一木水
7044,['659'],27.6C82,沂,b'\xe6\xb2\x82',水斤,水斤
7045,['1311'],27.6D0B,洋,b'\xe6\xb4\x8b',水﹗,水羊
7046,['4242'],27.6FC1,濁,b'\xe6\xbf\x81',水虫﹡,水虫网
7047,['2670'],27.6E89,溉,b'\xe6\xba\x89',人水﹜,水
7048,['4528'],27.6FF0,濰,b'\xe6\xbf\xb0',水糸隹,水糸隹
7049,['6830'],27.6D6F,浯,b'\xe6\xb5\xaf',一一口水,口五水
7050,['655'],27.6C76,汶,b'\xe6\xb1\xb6',水文,水文
7051,['997'],27.6CBB,治,b'\xe6\xb2\xbb',口巳水,口水
7052,['1724'],27.6D78,浸,b'\xe6\xb5\xb8',水,又又水
7053,['8073'],27.6E61,湡,b'\xe6\xb9\xa1',九水﹤,水禺
7054,['32589'],27.E935,,b'\xee\xa4\xb5',,牛鳥
7055,['2225'],27.6E1A,渚,b'\xe6\xb8\x9a',水,日水老
7056,['6389'],27.6D28,洨,b'\xe6\xb4\xa8',大水★,水父
7057,['4516'],27.6FDF,濟,b'\xe6\xbf\x9f',水齊,水齊
7058,['1003'],27.6CDC,泜,b'\xe6\xb3\x9c',一水﹎,一水氏
7059,['4524'],27.6FE1,濡,b'\xe6\xbf\xa1',水而雨,水而雨
7060,['12428'],27.7045,灅,b'\xe7\x81\x85',土水畾,土水田田田
7061,['981'],27.6CBD,沽,b'\xe6\xb2\xbd',十口水,十口水
7062,['640'],27.6C9B,沛,b'\xe6\xb2\x9b',八水【,巿水
7063,['6834'],27.6D7F,浿,b'\xe6\xb5\xbf',水貝,水貝
7064,['11877'],27.7024,瀤,b'\xe7\x80\xa4',又尸水毛目衣,水毛网衣
7065,['33125'],27.E936,,b'\xee\xa4\xb6',一入口鳥,一人口鳥
7066,['32665'],27.E937,,b'\xee\xa4\xb7',,一人土鳥
7067,['6030'],27.6CD2,泒,b'\xe6\xb3\x92',水瓜,水瓜
7068,['9373'],27.6EF1,滱,b'\xe6\xbb\xb1',一一卜儿又水,二儿水
7069,['7421'],27.6DF6,淶,b'\xe6\xb7\xb6',水來,人人木水
7070,['979'],27.6CE5,泥,b'\xe6\xb3\xa5',人尸水,匕尸水
7071,['8061'],27.6E73,湳,b'\xe6\xb9\xb3',一一入八水【,十儿干水
7072,['9406'],27.6F39,漹,b'\xe6\xbc\xb9',水焉,一止水火
7074,['33105'],27.E938,,b'\xee\xa4\xb8',大鳥★,父鳥
7075,['1331'],27.6D35,洵,b'\xe6\xb4\xb5',一囗水,日水
7076,['7450'],27.6DBB,涻,b'\xe6\xb6\xbb',一入囗屮水,人水舌
7077,['32082'],27.E939,,b'\xee\xa4\xb9',人屮鳥｛,人木鳥
7078,['7422'],27.6DD4,淔,b'\xe6\xb7\x94',十水目,十水
7079,['32429'],27.E93A,,b'\xee\xa4\xba',舟鳥,舟鳥
7080,['7438'],27.6DBA,涺,b'\xe6\xb6\xba',十口尸水,十口尸水
7081,['32780'],27.E93B,,b'\xee\xa4\xbb',,
7082,['5731'],27.6C8B,沋,b'\xe6\xb2\x8b',乙又水,一尢水
7083,['6413'],27.6D07,洇,b'\xe6\xb4\x87',大囗水,大囗水
7084,['7442'],27.6DC9,淉,b'\xe6\xb7\x89',屮水｛︷,水果
7085,['32569'],27.E93C,,b'\xee\xa4\xbc',口鳥,口鳥
7086,['32279'],27.F0B3,,b'\xef\x82\xb3',犬水,一尢水
7087,['32413'],27.E93D,,b'\xee\xa4\xbd',,
7088,['32077'],27.E93E,,b'\xee\xa4\xbe',,
7089,['32199'],27.E93F,,b'\xee\xa4\xbf',,
7090,['32073'],27.E940,,b'\xee\xa5\x80',,
7091,['6824'],27.6D0D,洍,b'\xe6\xb4\x8d',水,水
7092,['10575'],27.6FA5,澥,b'\xe6\xbe\xa5',刀水牛角,刀水牛角
7093,['3513'],27.6F20,漠,b'\xe6\xbc\xa0',一囗屮屮屮屮水,大日水艸
7094,['1725'],27.6D77,海,b'\xe6\xb5\xb7',屮女水﹉,人水毋
7095,['3079'],27.6EA5,溥,b'\xe6\xba\xa5',一卜又又口水﹔,寸水甫
7096,['33060'],27.E941,,b'\xee\xa5\x81',,人人大鳥
7097,['1313'],27.6D2A,洪,b'\xe6\xb4\xaa',十十又水,儿水
7098,['6402'],27.6D1A,洚,b'\xe6\xb4\x9a',水,水
7099,['1458'],27.884D,衍,b'\xe8\xa1\x8d',彳彳水,水行
7100,['32365'],27.EE03,,b'\xee\xb8\x83',一一囗屮水舟︽,十十日水
7101,['32921'],27.E943,,b'\xee\xa5\x83',,人儿干鳥
7102,['3088'],27.6ED4,滔,b'\xe6\xbb\x94',水爪臼,水爪臼
7103,['1727'],27.6D93,涓,b'\xe6\xb6\x93',囗水肉,口水月
7104,['2221'],27.6DF7,混,b'\xe6\xb7\xb7',一人人囗水,比日水
7105,['9968'],27.6F52,潒,b'\xe6\xbd\x92',水象,人日水豕
7106,['9950'],27.6F26,漦,b'\xe6\xbc\xa6',厂卜又水未,厂水未
7107,['5737'],27.6C6D,汭,b'\xe6\xb1\xad',入囗水,水內
7108,['9961'],27.6F5A,潚,b'\xe6\xbd\x9a',又水「,水聿
7109,['3507'],27.6F14,演,b'\xe6\xbc\x94',水寅,一儿水由
7110,['2671'],27.6E19,渙,b'\xe6\xb8\x99',卜人八又又水目,人人大水
7111,['978'],27.6CCC,泌,b'\xe6\xb3\x8c',八水﹍,水必
7112,['1320'],27.6D3B,活,b'\xe6\xb4\xbb',口水﹎﹋,一十口水
7112,['32737'],27.E944,,b'\xee\xa5\x84',,
7113,['8060'],27.6E5D,湝,b'\xe6\xb9\x9d',湝 = 人人水,比水白
7114,['6015'],27.6CEB,泫,b'\xe6\xb3\xab',水玄,水玄
7115,['7444'],27.6DF2,淲,b'\xe6\xb7\xb2',水虍←,儿水虍
7116,['7419'],27.6DE2,淢,b'\xe6\xb7\xa2',一囗水﹍﹌,一口戈水
7117,['4762'],27.700F,瀏,b'\xe7\x80\x8f',水劉,一匕刀刀水金
7118,['33034'],27.E945,,b'\xee\xa5\x85',,
7119,['3074'],27.6EC2,滂,b'\xe6\xbb\x82',水方，,儿水方
7120,['641'],27.6C6A,汪,b'\xe6\xb1\xaa',土水之,水玉
7121,['9386'],27.6F3B,漻,b'\xe6\xbc\xbb',人水羽,人水羽
7122,['6397'],27.6CDA,泚,b'\xe6\xb3\x9a',人水止,匕止水
7123,['991'],27.6CC1,況,b'\xe6\xb3\x81',儿口水,儿口水
7124,['647'],27.6C96,沖,b'\xe6\xb2\x96',口水,中水
7125,['415'],27.6C4E,汎,b'\xe6\xb1\x8e',一一水,一儿水
7126,['5730'],27.6C84,沄,b'\xe6\xb2\x84',水雨¯,二水
7127,['1733'],27.6D69,浩,b'\xe6\xb5\xa9',口水牛,口水牛
7128,['654'],27.6C86,沆,b'\xe6\xb2\x86',大水▽,儿水
7129,['6014'],27.6CEC,泬,b'\xe6\xb3\xac',八水,水穴
7130,['11077'],27.6FDE,濞,b'\xe6\xbf\x9e',丌水自,水鼻
7131,['12186'],27.7042,灂,b'\xe7\x81\x82',水爵,寸水爪网
7132,['9973'],27.6F5D,潝,b'\xe6\xbd\x9d',一入口水羽,一人口水羽
7133,['3911'],27.6ED5,滕,b'\xe6\xbb\x95',水朕,儿夫水月
7134,['9959'],27.6F4F,潏,b'\xe6\xbd\x8f',入口囗水矛,儿口水矛
7135,['1328'],27.6D38,洸,b'\xe6\xb4\xb8',人水火,儿水火
7136,['984'],27.6CE2,波,b'\xe6\xb3\xa2',又水為,水皮
7137,['9979'],27.6F90,澐,b'\xe6\xbe\x90',水雨¯,二水雨
7138,['5066'],27.703E,瀾,b'\xe7\x80\xbe',八囗屮水戶戶｛,儿水束門
7138,['3524'],27.6F23,漣,b'\xe6\xbc\xa3',彳水止車,水車
